Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
Calysta Inc.,Improve global food sustainability and security,Calysta Inc. (www.calysta.com) Menlo Park CA is an innovator in sustainable products to improve worldwide food security. Calysta Nutrition develops and commercializes FeedKind protein a sustainable traceable alternative feed ingredient for fish livestock and pet nutritional products,http://calysta.com/,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,United States of America,Growth,Emerging,Yes,Series D,"133,000,000",>20M,,High income,USA,,2011,2-10,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Greenway Grameen Infra,high-efficiency cook stove,"greenway grameen infra has developed an efficient biomass cook stove that delivers cleaner combustion than traditional stoves or open fires, reducing indoor emissions and household costs. the greenway smart stove is a user co-created biomass stove that delivers 65% fuel savings and 70% smoke reduction and works with any solid biomass fuel. over 3 billion people worldwide, including 68% of india’s population , still cook daily meals on inefficient traditional mud stoves or indoor open fires. this stove employs a patent-pending air-flow generator that creates a cleaner combustion process without any moving or motorized parts. the unit retails for $23. according to the company, usage of the stove can prevent the release of 1.8 tons of greenhouse gas emissions annually, while reducing household air pollution levels to those deemed safe by the world health organization. design for sustainability should be driven by actual users. ankit mathur – cto, greenway grameen infra why you should care firewood savings resulting from greater burning efficiencies mean that the stove pays for itself in just 14 weeks, and also reduces the pressure on local forests.",https://www.greenwayappliances.com/,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,india,Unknown,Emerging,,,,N/A,,Lower middle income,india,,2011,37,,,,,,Sustainia,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Cambridge Carbon Capture Ltd,Making a profit from CO2 capture by accelerating the Earth's natural processes,"Cambridge Carbon Capture Ltd is developing a breakthrough technology solution to Industrial CO2 Capture & Storage/Utilisation, based upon IP-protected advanced CO2 mineralisation technology. CCC%u2019s technology has the potential to strip CO2 from industrial flue gases for less than the current carbon price, with the potential to offset this cost or even make a profit from sale of semi-precious metals and other mineral by- products from the process.",http://www.cacaca.co.uk/,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,United Kingdom,Unknown,Nascent,Yes,Seed,Undisclosed,N/A,,High income,United Kingdom,,2010,2-10,,,,,,MassChallenge,TRUE,FALSE,,FALSE,FALSE,,1,0,1,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Campotec,Natural resource management solution provider,"Campotec provides a natural resource management solution. It provides a technological solution for optimizing the use of natural resources to prevent the ecosystem. Its services include cattle feeding, detection of landslides, and detection of fire. Its projects include farming, cattle raising, mining, and more.",campotec.es,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,Spain,Go-to-market,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Spain,,2015,0-1,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Donkey Republic,Online bicylcle rental platform,Donkey Republic offers rental bikes. Users can book a bike online and unlock it from phone. It primarily serves Copenhagen. Bike rental operators can list and join donkey republic as partners. The rented bike are fitted with a digital lock that can be unlocked with an offline phone. The bike has to be returned to the same rental hub it was picked up from.,https://www.donkey.bike/da/,SDG 11: Sustainable Cities and Communities,,13.4 Decarbonised Transport,,,,,,,,Denmark,Growth,Nascent,Yes,Series A,"18,000,000",N/A,,High income,Denmark,,2015,56,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,0.5,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Greenx.network,Decentralized platform for the green energy industry,"a blockchain ecosystem that enables individual and institutional investors to discover and invest in lucrative, low-risk renewable energy projects around the world",https://greenx.network/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,Singapore,Unknown,Emerging,,,,N/A,,High income,Singapore,,2018,3,,,,,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Grid Singularity,an Austria-based startup on its way to redefining the whole energy market with its comprehensive blockchain solution,an Austria-based startup on its way to redefining the whole energy market with its comprehensive blockchain solution,gridsingularity.com/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,Austria,Unknown,Emerging,,,,N/A,,High income,Austria,,2015,14,,,,,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Capital Float,Provide SMEs with innovative flexible credit products,Capital Float is an online platform that provides working capital finance to SMEs in India. We offer flexible short term loans that can be used to purchase inventory service new orders or optimize cash cycles. Borrowers can apply online in minutes select desired repayment terms and receive funds in their bank accounts in 3 days with minimal hassle. Capital Float is the trade name of Zen Lefin Pvt. Ltd. a non banking finance company (NBFC) registered with the RBI. The company is headquartered in Bangalore. Our management team consists of experienced professionals with prior careers in blue chip companies such as McKinsey & Company Gokaldas Exports Oracle Citibank Capital First and Wipro. They also hold advanced degrees from leading universities around the world such as Stanford University Princeton University IIT Mumbai The London School of Economics and Delhi University.,https://capitalfloat.com/,SDG 9: Industry Innovation and Infrastructure,,9.4 Data-based SME financing for developing markets,,,,,,,,India,Unknown,Emerging,Yes,Series C,"154,000,000",N/A,,Lower middle income,India,,2014,529,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Carbo Culture,Turns methane-emitting local waste biomass into high carbon content charcoal.,"Carbo Culture produces and supplies biochar. It produces biochar from the orchard waste such as nut shells collected from the orchards of California. The biochar, when mixed with nutrients helps in improving the soil structure and water retention capacity. The company is based in California.",https://www.carboculture.com/,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,United States of America,Go-to-market,Nascent,Yes,Seed,"674,000",<1M,,High income,USA,,2016,2,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Carbofix East Africa,To improve air quality and control of unmitigated CO2 emissions.,Carbofix East Africa Ltd. works to improve air quality and control of unmitigated CO2 emissions from the energy and industrial sectors in Kenya and East Africa by capturing CO2 using low cost inputs and converting it to value added products like glass baking soda and ethanol for extra revenue besides cashing in on the resultant carbon credits from the emissions reductions. Carbofix East Africa Ltd. strives to be the best one stop shop partner in Africa on the full carbon capture use or storage value chain to help clients de carbonize emissions for a reduced carbon footprint across the African continent.,http://www.carbofixservices.org/,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,Kenya,Unknown,Nascent,No,Unfunded,Not Applicable,N/A,,Lower middle income,Kenya,,2017,Unknown,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Carbon Advice Group,Provide individuals and organizations the ability to measure their footprint,The Carbon Advice Group helps increase the brand identity of products and businesses by providing advice and marketing campaigns to reduce and offset carbon footprints. They also help individuals calculate and offset their own footprint.,http://www.carbonadvicegroup.com/,SDG 13: Climate Action,,13.11 Other,,,,,,,,United States of America,Unknown,Nascent,No,Unfunded,Not Applicable,N/A,,High income,USA,,2009,1,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,1,0,0,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Carbon Clean Solutions,Carbondioxide capture solvent technology provider,"Carbon Clean Solutions (CCS) provides carbon dioxide (CO2) separation technology for industrial and gas treating applications. The company’s technology is used in power-plants; and steel, cement, fertilizer, chemical, and petrochemical industries for reducing CO2 emissions. The company is based in Mumbai, India with operations and research facilities in the United Kingdom and India; and operations in the United States. The company got incubated at Ginserv, India.",carboncleansolutions.com,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,"UK, India, USA",Growth,Emerging,Yes,Series B,"25,340,000",3-10M,,Lower middle income,India,,2009,25,,,,,,Sustainia,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Grid+,Ethereum based token for the trade of energy,"Gridplus aims to use the ethereum blockchain to leverage wholesale prices for energy and make it available to the average consumer. Their goal is to further the adoption of greener sources of energy, remove inefficiencies from the process of purchase of energy and diminish the over all costs involved in acquiring energy. The system is driven by a blockchain based token named Token whose value is permanently pegged to 1 USD. The token will be used as a standard form of payment in the system.",https://gridplus.io/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,United States of America,Unknown,Emerging,,,,N/A,,High income,USA,,2017,6,,,,,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Grøn Industri A/S,,"at green industry, we help companies, organizations and agriculture to get green energy solutions in the field of light and ventilation.we help our customers take a green responsibility and save money on energy consumption.as a side benefit, our solutions help improve retail sales, the working environment in institutions and the healthcare sector, agricultural well-being and manufacturing in the industry.we believe that we all benefit if even more of the world's energy consumption can come from green energy sources.",http://g-i.dk,SDG 7: Affordable and Clean Energy,,,,,,Energy & Materials,Expansion of renewables; Energy efficiency - nonenergy intensive industries; Energy efficiency - energy intensive industries,,B2B,Developed Markets,,Emerging,,,,,,,Denmark,,2012,10,,,,,,,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Grundfos BioBooster,Manufacturing energy-efficient pumps.,"Grundfos is one of the world's leading pump manufacturers, with about 18.000 employees and an annual production of more than 16 million pump units a year. Since Grundfos beginnings in 1945, Grundfos have valued innovation, sustainability and intelligence in pump solutions. Grundfos push the limits in the pump industry by developing ground-breaking solutions to meet challenging market demands.",http://www.grundfos.com/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,Denmark,Unknown,Emerging,,,,N/A,,High income,Denmark,,2014,Unknown,,,,,,ImpactSpace,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
HeatMatrix,Turns waste heat into profit,,http://heatmatrixgroup.com/,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,energy,,,,,,Emerging,Yes,Series B,"3,300,000",,Jan/2014,,Netherlands,,2008,10,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
HEKR,Cloud based energy management solutions provider,"HEKR is a cloud-based energy management solutions provider. It provides solutions like energy efficiency analysis, fault management, remote monitoring of fault, video surveillance, maintenance management, and others. It also enables users to check the status of electrical equipment.",hekr.me,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,China,Go-to-market,Emerging,,,,N/A,,Upper middle income,China,,2014,6,,,,,,Tracxn,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Carbon Token,A decentralized peer-to-peer self-organizing consensus mechanism and marketplace for carbon offset lifecycle management using cryptographic blockchain tokens.,A decentralized peer-to-peer self-organizing consensus mechanism and marketplace for carbon offset lifecycle management using cryptographic blockchain tokens,"https://www.carbontoken.asia/
 https://docs.google.com/document/d/1fNxBRcdYR7Ug5y208K-VPDhDk_IHjm8Sli3It8JduDI/edit",SDG 13: Climate Action,,13.9 Mitigation Enablers,,,,,,,,Unknown,Unknown,Emerging,,,,N/A,,Unknown,,,2014,Unknown,,,,X,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Carboncoin,an energy efficient digital currency that plants trees,an energy efficient digital currency that plants trees,carboncoin.cc,SDG 13: Climate Action,,13.9 Mitigation Enablers,,,,,,,,Unknown,Unknown,Emerging,,,,N/A,,Unknown,United Kingdom,,2014,11-50,,,,X,,PositiveBlockchain,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
CarbonToSoil Oy,The total amount of carbon on Earth is constant but for a balanced and healthy nature it is currently in the wrong form: as carbon dioxide in the atmosphere. In the CarbonToSoil mobile app consumers get to participate in agriculture where regenerative farming is used to draw carbon from the atmosphere into the soil more efficiently than before. Through the app anyone can support farms to change their agricultural methods to regenerative farming.,,http://www.carbontosoil.com,SDG 15: Life on Land,,,,,,Food & Agriculture,Technology in smallholder farms; Restoring degraded land,,B2B; B2C,Developed Markets; Emerging Markets; Frontier Markets,,Nascent,No,Unfunded,Not Applicable,,,,Finland,Helsinki,2015,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
CarbonX,CarbonX® partners with leading safety supply distributors to deliver customized personal protective equipment (PPE) solutions for the world’s most hazardous environments.,"CarbonX enables enterprise companies to satisfy the growing consumer demand for sustainable business practices. We source and recast carbon offsets as crypto tokens on a private blockchain, thereby validating provenance and ensuring the security and immutability of all transactions.",https://www.carbonx.ca/#about,SDG 13: Climate Action,,13.9 Mitigation Enablers,,,,,,,,Global,Unknown,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Canada,,2017,3,,,,,,PositiveBlockchain,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Cardiaccs,"Cardiovascular related diseases are the leading cause of hospitalization and death worldwide, and there is an increase of patients with complex cases where open heart surgeries are required. Cardiaccs wants to cover the urgent unmet need for better cardiac monitoring to reduce morbidity and mortality in this patient group.",,https://cardiaccs.com,SDG 3: Good Health and Well-being,,,,,,Health & Wellbeing,Better disease management,,B2B,Developed Markets,,Mature,Yes,Grant,"5,563,975",,,,Norway,Oslo,2008,7,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.66,0,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
Care to translate,"Care to Translate, earlier called Språk i vården, was founded in the fall of 2015 by medical students from Karolinska Institute. Today it has become one of the most used translation tools in the Swedish healthcare sector and is used in over 100 countries worldwide. The goal is to make healthcare better for all.",Care to Translate provides a translation app for medical professionals. The application platform helps the professionals to manage the language barriers in hospitals and clinics to optimize the communication and clinical decision-making solutions. The app also helps in reduction of misdiagnosis and readmissions in hospitals.,https://www.caretotranslate.com/,SDG 3: Good Health and Well-being,#10,,,,,Health & Wellbeing,Better disease management,,B2B,Developed Markets; Frontier Markets,,Emerging,Yes,Angel,"1,135,105",,,,Sweden,Stockholm,2015,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Carefree,"Carefree harnesses the power of technology and the spirit of sharing to support and sustain unpaid caregivers, the invisible workforce without which our social care sector could not survive",,https://carefreespace.org/,SDG 5: Gender Equality,,,5.4,,,,,,,,,Nascent,No,Unfunded,Not Applicable,,,,United Kingdom,,2016,9,,,,,,https://app.cbinsights.com/profiles/c/lNQDe,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Careship,Platform to find caregivers for seniors,"Careship is an online marketplace that allows users to find and hire caregivers for elderly support. In addition to the companionship, caregivers could also provide support in household, cooking, common shopping chores. Based out of Berlin. Part of Axel Springer Plug and Play accelerator program.",https://www.careship.de/,SDG 3: Good Health and Well-being,,n/a,,,Direct,health,,,,,,Nascent,Yes,Series B,"11,700,000",,Apr/2018,,Germany,,2015,50,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,0.5,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Helbio,Helbio develops and markets hydrogen fuel processors for energy applications,,http://www.helbio.com,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,energy,,,,,,Emerging,Yes,Series B,"1,670,000",,Sep/2016,,Greece,,2003,11,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
carpooling.com,The largest ride sharing network in Europe,,http://www.carpooling.com/,SDG 13: Climate Action,,n/a,,,Indirect,travel;transportation,,,,,,Mature,Yes,Acquired,"10,000,000",,Apr/2015,,Germany,,2001,51-200,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.66,1,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
EkoRent ,"EkoRent offer affordable, easy-to-use, zero-emission car rental and sharing services.",,http://ekorent.fi/en,SDG 11: Sustainable Cities and Communities,,,,,,Cities,Car sharing,The sharing Economy,B2C,Developed Markets,,Nascent,Yes,Seed,"519,565",,,,Finland,,2014,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Cashaa,"the Next Generation banking Platform for the Next Billion, building a no-fee remittance system for the remittance market","the Next Generation banking Platform for the Next Billion, building a no-fee remittance system for the remittance market",https://cashaa.com/cas-token.php,SDG 1: No Poverty,,1.1 Mobile connectivity for financial inclusion,,,,,,,,Emerging,Unknown,Emerging,Yes,Public,"19,800,000",N/A,,High income,United Kingdom,,2016,19,,,,,,PositiveBlockchain,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Hexicon,By combining double capacity on its platforms; Hexicon’s designs have competitive advantages in park formations resulting in lower costs per installed MW. Hexicon parks require less inter-array cables which saves both CAPEX and installation effort. By sharing the foundation; O&amp;M can be rationalized by access to multiple turbines from a single crew transfer.,,https://www.hexicon.eu/,SDG 7: Affordable and Clean Energy,,,,,,Energy & Materials,Expansion of renewables,,B2B,Developed Markets,,Emerging,Yes,Series A,"12,100,000",,,,Sweden,,2009,6,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
CauseMatch,The next-gen of online fundraising for social causes. We've helped causes fundraise $26MM with an avg. boost of 5.67x more raised/client.,"We give nonprofits wings. Our algorithm-based Fundraising Planning Platform assesses nonprofits' profile and prepares a tailored annual fundraising strategy. To execute this plan, we offer an all-in-one fundraising solution to implement a variety of fundraisers (e.g. matching campaigns, walk-a-thons).And to ensure optimal success, we provide a proprietary suite of digital storytelling tools as well as hands-on coaching.",http://www.causematch.com,SDG 16: Peace Justice and Strong Institutions,,16.4 Civic tech platforms,,,,,,,,Israel,Unknown,Nascent,Yes,Seed,Undisclosed,N/A,,High income,USA,,2015,32,,,,X,,MassChallenge,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0.5,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Cellink,3D bioprinting solutions for regenerative medicine and tissue engineering,"Cellink is a biotechnology company that is developing platforms and reagents for 3D bioprinting for printing of functional human tissues and organs. The company's product - Inkredible+ 3D bioprinter is a benchtop bioprinter for research applications. The bioprinter is supported by the company's bio ink product which is a hydrogel biomaterial suitable for bioprinting with mammalian cells, which provides temporary support to cells as they produce their own extracellular matrix.",https://cellink.com/,SDG 9: Industry Innovation and Infrastructure,,9.2 Advanced technologies for sustainable industry,,,,,,,,Global,Go-to-market,Emerging,Yes,Public,"16,000,000",>20M,,High income,Sweden,,2016,188,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
eMobility,Environmentally friendly Norwegian transportation company with electric cars,"explore independently some of norway’s finest destinations in our sprightly, fun, environmentally friendly electric cars. we show you the highlights as a good friend would do and guarantee that you will have a blast!we are located in three of norway’s finest tourist destinations: geiranger, flåm and ålesund.",http://emob.no,SDG 11: Sustainable Cities and Communities,#12,,,,,,,,B2C,Developed Markets,,Nascent,No,Unfunded,Not Applicable,,,,Norway,,2016,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Hexicon AB,"Hexicon – Global investments in clean and renewable energy are sharply on the rise. By 2030, 500 floating offshore wind turbines are expected to be installed, from just a handful today.",,http://www.hexicon.eu/,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,energy,,,,,,Emerging,Yes,Series A,"12,100,000",,Apr/2016,,Sweden,,2009,23,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Centiglobe,"Centiglobe offers an instant financial multi-currency transaction system with a direct connection between parties, enabling banks, businesses and financial institutions to improve cross-border payment services while lowering their total cost of settlements, exchanges and transactions. The solution is specifically designed to meet the needs of regulation by fitting within existing risk, compliance and information security frameworks","Centiglobe is an infrastructure company developing payment technology that enables anyone in need of making payments in a multi currency environment to transfer money fast, secure and at a lower cost compared to existing alternatives. This is made possible through a decentralized blockchain ledger. The solution also minimizes the foreign exchange risk and volatility experience relative to other cryptocurrency solutions. By eliminating the need of the many intermediaries in today’s international transfers, Centiglobe lowers the average cost of transfer from an average 7% of transfer value which is today’s market practice for remittance to close to 0%. The platform is furthermore fully decentralized and can be integrated as the backbone or as a complementary solution to existing structures for any transfer providers, from large institutions and Banks to smaller payment providers. When integrated our solution also enables liquidity control for instant payments.",https://www.centiglobe.com/,SDG 1: No Poverty,,1.1 Mobile connectivity for financial inclusion,,,,,,,,Sweden,Prototype,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Sweden,,2017,17,,,,,,The Hub,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0.5,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Ceptu,No explicit impact statement.,,https://ceptu.com/,SDG 2: Zero Hunger,#12#15,,,,,Food & Agriculture,Product reformulation; Technology in large-scale farms; Technology in smallholder farms,,B2B,Developed Markets,,Nascent,Yes,Undisclosed,Undisclosed,,,,Denmark,Aarhus,2015,5,,,,X,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Cera,Professional home care for elderly people,"Cera is a senior caregiver service provider headquartered in London, UK. It provides hourly care as well as live-in care services. Users can register and request elder care support by furnishing their details on the platform. The company will contact the users to ascertain the user's requirements and assign a caregiver that matches these requirements. Users can pay online and can schedule follow-on visits through the platform. The company charges ~$20 / hour for hourly care and ~$950 / week for live-in care services. The company provides its services by partnering with local caregivers and claims that all its service providers are professionally trained and have had their backgrounds verified. As of Dec 2016, the company provides services in select locations in UK.",https://ceracare.co.uk/,SDG 8: Decent Work and Economic Growth,SDG 3: Good Health and Well-being,n/a,,,Direct,health,,,,,,Nascent,Yes,Series B,"91,100,000",,May/2018,,United Kingdom,,2015,2-10,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,1,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Envirate,"Envirate creates a platform for completely new environmental big data, that produces valuable information for the individual, business, and policy-makers. The applications are limitless.",,http://www.envirate.net/,SDG 11: Sustainable Cities and Communities,#14#15,,,,,,,Big Data Machine Learning,B2C,Developed Markets; Emerging Markets,,Nascent,No,Unfunded,Not Applicable,,,,Finland,,2016,7,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Cgrain,"With more than 30 years of experience of image analysis in the cereal seed industry, Cgrain’s founder and CEO, Jaan Luup, has a deep knowledge of the image analysis of grain. Jaan Luup has developed the sorting instrument, Seed Scanner, and also owns the company Maxx Automation AB. Seed Scanner is an image analysis instrument that is used to quantify foreign seeds and is in use in several seed testing laboratories in Europe.",,http://www.cgrain.se/,SDG 2: Zero Hunger,#12,,,,,Food & Agriculture,Reducing food waste in value chain,Lean Service Models,B2B,Developed Markets,,Nascent,Yes,Undisclosed,Undisclosed,,,,Sweden,Uppsala,2012,3,,,,X,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
hiLyte,Manufacturer of iron-based flow batteries,"In emerging countries, one billion people do not have access to electricity and spend up to 30% of their wages to light up and charge their phones. Most of Sub-Saharan African people own a phone but need to go back to town to charge it. hiLyte develops an iron battery based on a model of consumables to replace regularly, that enables people to get light and charge a phone. It is the only solution that is both affordable, clean and safe, that produces electricity on demand.",http://www.hilyte-power.com,SDG 7: Affordable and Clean Energy,,7.3 Energy Storage,,,,,,,,Emerging,Unknown,Emerging,,,,N/A,,High income,Switzerland,,2017,5,,,,,,MassChallenge,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Chakr,Device that uses soot from diesel generator to create ink and paint,"Chakr Shield which is attached to the exhaust system of diesel generators to capture around 75 to 90 per cent of particulate matter, a kind of air pollutant, which is also one of the main constituents of soot.",www.chakr.in,SDG 13: Climate Action,,13.6 Engineered Solutions for Carbon Removal,,,,,,,,South Asia,Go-to-market,Nascent,Yes,Series A,"3,400,000",3-10M,,Lower middle income,India,,2015,45,,,,,,Scouting,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,0.5,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Ete,Engineered panels made from 100% recycled plastics,,http://www.ecosheet.com,SDG 11: Sustainable Cities and Communities,,n/a,,,Direct,real estate;energy,,,,,,Nascent,Yes,Seed,"598,696",,Mar/2017,,United Kingdom,,2007,47,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0,0.5,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Exergyn,Greentech/industri al power sectors,,http://www.exergyn.com,SDG 11: Sustainable Cities and Communities,,n/a,,,Direct,energy,,,,,,Nascent,Yes,Seed,"2,937,636",,Mar/2015,,Ireland,,2012,16,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0.5,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Holaluz,Online electricity retailer in Spain,,https://www.holaluz.com/,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,energy,,,,,,Emerging,Yes,Series A,"4,330,000",,Jan/2017,,Spain,,2010,187,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,1,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
